LATITUDE,LONGITUDE
3.625,30.625
3.625,32.125
4.125,30.125
4.125,30.625
4.125,31.125
4.125,31.625
4.125,32.125
4.125,32.625
4.125,33.125
4.125,33.625
4.625,28.125
4.625,28.625
4.625,29.125
4.625,30.125
4.625,30.625
4.625,31.125
4.625,31.625
4.625,32.125
4.625,32.625
4.625,33.125
4.625,33.625
4.625,34.125
5.125,27.625
5.125,28.125
5.125,28.625
5.125,29.125
5.125,29.625
5.125,30.125
5.125,30.625
5.125,31.125
5.125,31.625
5.125,32.125
5.125,32.625
5.125,33.125
5.125,33.625
5.125,34.125
5.125,34.625
5.125,35.125
5.125,35.625
5.625,27.625
5.625,28.125
5.625,28.625
5.625,29.125
5.625,29.625
5.625,30.125
5.625,30.625
5.625,31.125
5.625,31.625
5.625,32.125
5.625,32.625
5.625,33.125
5.625,33.625
5.625,34.125
5.625,34.625
5.625,35.125
6.125,26.625
6.125,27.125
6.125,27.625
6.125,28.125
6.125,28.625
6.125,29.125
6.125,29.625
6.125,30.125
6.125,30.625
6.125,31.125
6.125,31.625
6.125,32.125
6.125,32.625
6.125,33.125
6.125,33.625
6.125,34.125
6.125,34.625
6.625,26.625
6.625,27.125
6.625,27.625
6.625,28.125
6.625,28.625
6.625,29.125
6.625,29.625
6.625,30.125
6.625,30.625
6.625,31.125
6.625,31.625
6.625,32.125
6.625,32.625
6.625,33.125
6.625,33.625
6.625,34.125
6.625,34.625
7.125,26.125
7.125,26.625
7.125,27.125
7.125,27.625
7.125,28.125
7.125,28.625
7.125,29.125
7.125,29.625
7.125,30.125
7.125,30.625
7.125,31.125
7.125,31.625
7.125,32.125
7.125,32.625
7.125,33.125
7.125,33.625
7.125,34.125
7.625,25.625
7.625,26.125
7.625,26.625
7.625,27.125
7.625,27.625
7.625,28.125
7.625,28.625
7.625,29.125
7.625,29.625
7.625,30.125
7.625,30.625
7.625,31.125
7.625,31.625
7.625,32.125
7.625,32.625
7.625,33.125
7.625,33.625
8.125,25.125
8.125,25.625
8.125,26.125
8.125,26.625
8.125,27.125
8.125,27.625
8.125,28.125
8.125,28.625
8.125,29.125
8.125,29.625
8.125,30.125
8.125,30.625
8.125,31.125
8.125,31.625
8.125,32.125
8.125,32.625
8.125,33.125
8.625,24.625
8.625,25.125
8.625,25.625
8.625,26.125
8.625,26.625
8.625,27.125
8.625,27.625
8.625,28.125
8.625,28.625
8.625,29.125
8.625,29.625
8.625,30.125
8.625,30.625
8.625,31.125
8.625,31.625
8.625,32.125
8.625,32.625
8.625,33.125
8.625,33.625
9.125,24.625
9.125,25.125
9.125,25.625
9.125,26.125
9.125,26.625
9.125,27.125
9.125,27.625
9.125,28.125
9.125,28.625
9.125,29.125
9.125,29.625
9.125,30.125
9.125,30.625
9.125,31.125
9.125,31.625
9.125,32.125
9.125,32.625
9.125,33.125
9.125,33.625
9.125,34.125
9.625,25.125
9.625,25.625
9.625,26.125
9.625,29.125
9.625,29.625
9.625,30.125
9.625,30.625
9.625,31.125
9.625,31.625
9.625,32.125
9.625,32.625
9.625,33.125
9.625,33.625
10.125,25.125
10.125,25.625
10.125,29.625
10.125,30.125
10.125,31.625
10.125,32.125
10.125,32.625
10.125,33.125
10.125,33.625
10.625,32.125
10.625,32.625
10.625,33.125
11.125,32.625
11.125,33.125
11.625,32.625
11.625,33.125
12.125,33.125